Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:6198	2	2	25	2.01538461538462	0.0153846153846154	0	0.7826	2	0.1215647	0.2608695	0.01954545	0.03984848	101.1457	3	1	-25.2189894629605	-0.387984453276315
hsa:6199	2	2	25	2.01538461538462	0.0153846153846154	0	0.7826	2	0.1215647	0.2608695	0.01939394	0.04727273	101.1457	3	1	-25.2189894629605	-0.387984453276315
hsa:1050	3	1	104	2.01538461538462	0.0153846153846154	3	0.8175	4	0.1243962	0.2775	0.01878788	0.09090909	12.3844	0	1	-25.268989462951	-0.388753684045401
hsa:8864	1	1	13	1	0	0	0.94525	1	0.1215647	0.15	0.01515152	0.07136364	154.9159	0	1	-25.518989462951	-0.392599837891554
hsa:4353	1	1	18	1	0	0	0.73	1	0.1215127	0.15	0.01515152	0.04984849	76.644	0	1	-25.518989462951	-0.392599837891554
hsa:861	3	5	105	20.2076923076923	0.207692307692308	3.5	0.7	8	0.120071	4.454054	0.07090909	0.07227273	0.004430271	0	0	-18.4546517096464	-0.283917718609944
hsa:2209	1	1	25	1	0	0	0.7648084	1	0.1215997	0.15	0.01515152	0.0630303	95.58695	0	1	-25.518989462951	-0.392599837891554
hsa:6688	3	1	184	5.06153846153846	0.0615384615384615	22.5	0.8641121	9	0.1273146	0.5962499	0.03181818	0.08424243	0.06220215	0	1	-24.018989462951	-0.369522914814631
hsa:1978	1	1	20	1	0	0	0.7826	1	0.1215647	0.15	0.01515152	0.06469697	101.1457	3	1	-25.518989462951	-0.392599837891554
hsa:2475	3	2	106	4.04615384615385	0.0461538461538462	9	0.826	6	0.1243962	0.4992391	0.03075758	0.06090909	0.1630141	3	1	-24.0689894629757	-0.370292145584242
hsa:7704	4	5	166	20.1666666666667	0.166666666666667	0.3333333	0.7466121	6	0.1229895	1.510047	0.0560606	0.07575758	0.02649388	1	1	-16.780185617334	-0.258156701805139
hsa:1848	2	1	60	1	0	0	0.7950234	2	0.1230245	0.15	0.01515152	0.06151515	97.76977	1	1	-25.6856561296177	-0.395163940455657
hsa:5467	1	1	39	1	0	0	0.7941635	1	0.1216001	0.15	0.01515152	0.06484848	149.5104	1	1	-25.518989462951	-0.392599837891554
hsa:3728	4	5	204	8.10769230769231	0.107692307692308	44.5	0.9416355	12	0.1273496	1.026562	0.05666667	0.1027273	20.80672	1	1	-21.3880444595729	-0.329046837839583
hsa:5970	4	2	118	2.01538461538462	0.0153846153846154	0	1.0717	4	0.1245519	0.1904762	0.02	0.05727273	222.2842	3	1	-25.5979368313721	-0.39381441279034
hsa:4790	4	2	118	2.01538461538462	0.0153846153846154	0	1.0717	4	0.1245519	0.1904762	0.02045454	0.04772727	222.2842	3	1	-25.5979368313721	-0.39381441279034
hsa:6932	4	5	87	8.08461538461538	0.0846153846153846	0	0.7	4	0.120071	0.6812499	0.05015152	0.06363636	34.33558	1	0	-23.0091929176567	-0.353987583348564
hsa:6934	4	5	87	8.08461538461538	0.0846153846153846	0	0.7	4	0.120071	0.6812499	0.04954546	0.05666667	34.33558	1	0	-23.0091929176567	-0.353987583348564
hsa:51176	4	5	87	8.08461538461538	0.0846153846153846	0	0.7	4	0.120071	0.6812499	0.04924243	0.0660606	34.33558	1	0	-23.0091929176567	-0.353987583348564
hsa:83439	4	5	87	8.08461538461538	0.0846153846153846	0	0.7	4	0.120071	0.6812499	0.04984849	0.0560606	34.33558	1	0	-23.0091929176567	-0.353987583348564
hsa:5371	4	5	203	20.2	0.2	0	0.7	9	0.120071	3.302344	0.08424243	0.06939394	0.0006359973	1	0	-15.408583180252	-0.237055125850031
hsa:597	2	1	68	1	0	0	0.7466121	2	0.1229895	0.15	0.01515152	0.04454545	83.11009	1	1	-25.6856561296177	-0.395163940455657
hsa:5292	3	1	78	1	0	0	1.032325	3	0.1245	0.15	0.01515152	0.05893939	181.669	2	1	-25.768989462951	-0.396445991737708
hsa:6774	4	3	210	5.06153846153846	0.0615384615384615	1.333333	0.7385	6	0.1229544	0.4086956	0.03772727	0.085	0.987361	2	1	-24.3880852794153	-0.375201311991004
hsa:6776	4	3	210	5.06153846153846	0.0615384615384615	1.333333	0.7385	6	0.1229544	0.4086956	0.0339394	0.08787879	0.987361	2	1	-24.3880852794153	-0.375201311991004
hsa:11040	3	1	78	1	0	0	1.032325	3	0.1245	0.15	0.01515152	0.05984848	181.669	2	1	-25.768989462951	-0.396445991737708
hsa:2885	4	6	198	19.1105494505494	0.110549450549451	24	0.7385	4	0.1229544	1.209186	0.07136364	0.08030303	0.9873613	2	1	-13.4440249092883	-0.206831152450589
hsa:6654	4	6	313	18.1435897435897	0.143589743589744	18	0.810775	5	0.1215474	1.246101	0.1210606	0.08212122	0.9650688	2	1	-16.9377652945492	-0.260581004531526
hsa:5594	3	2	61	2.01538461538462	0.0153846153846154	0	1.016139	3	0.1230621	0.2093023	0.01969697	0.05545454	296.6886	4	1	-25.4735349174965	-0.391900537192254
hsa:5595	3	2	61	2.01538461538462	0.0153846153846154	0	1.016139	3	0.1230621	0.2093023	0.02090909	0.04393939	296.6886	4	1	-25.4735349174965	-0.391900537192254
hsa:8900	3	1	89	1	0	0	0.8416355	3	0.1244662	0.15	0.01515152	0.06803031	114.8799	1	1	-25.768989462951	-0.396445991737708
hsa:5914	4	5	251	20.1769230769231	0.176923076923077	8.833333	0.7466121	13	0.1229895	5.444046	0.08909091	0.05984848	0.003354589	1	0	-15.7086074363047	-0.241670883635458
hsa:208	5	3	196	13.0948717948718	0.0948717948717949	0	0.7	7	0.120071	3.415847	0.07393939	0.06333333	1.203282E-08	3	0	-15.4113526939454	-0.237097733753006
hsa:572	3	1	93	1	0	0	0.826	3	0.1243962	0.15	0.01515152	0.04484848	105.5999	3	1	-25.768989462951	-0.396445991737708
hsa:3815	6	6	554	25.2205128205128	0.220512820512821	0	0.7	10	0.120071	1.057491	0.1059091	0.1106061	1.203281E-08	2	0	-15.5790276823044	-0.239677348958529
hsa:6777	4	3	210	5.06153846153846	0.0615384615384615	1.333333	0.7385	6	0.1229544	0.4086956	0.03651515	0.08272728	0.987361	2	1	-24.3880852794153	-0.375201311991004
hsa:3551	5	3	197	5.06153846153846	0.0615384615384615	2	0.826	7	0.1243962	0.3499278	0.03878788	0.06393939	1.410516	3	1	-24.6150957160446	-0.37869378024684
hsa:10000	5	3	196	13.0948717948718	0.0948717948717949	0	0.7	7	0.120071	3.415847	0.07651515	0.07621212	1.203282E-08	3	0	-15.4113526939454	-0.237097733753006
hsa:1147	5	3	197	5.06153846153846	0.0615384615384615	2	0.826	7	0.1243962	0.3499278	0.03545455	0.06378788	1.410516	3	1	-24.6150957160446	-0.37869378024684
hsa:207	5	3	196	13.0948717948718	0.0948717948717949	0	0.7	7	0.120071	3.415847	0.07636364	0.07257576	1.203282E-08	3	0	-15.4113526939454	-0.237097733753006
hsa:5605	4	2	173	4.03076923076923	0.0307692307692308	11	1.053797	6	0.1245557	0.3410852	0.02893939	0.06954546	1.192804	4	1	-24.6888459222812	-0.379828398804326
hsa:673	5	3	395	7.05384615384615	0.0538461538461538	10.66667	0.7862155	7	0.1245013	0.4469109	0.04621212	0.07848485	0.3774608	4	1	-23.8878229887719	-0.367504969058028
hsa:369	5	3	395	7.05384615384615	0.0538461538461538	10.66667	0.7862155	7	0.1245013	0.4469109	0.04606061	0.08045454	0.3774608	4	1	-23.8878229887719	-0.367504969058028
hsa:5604	4	2	173	4.03076923076923	0.0307692307692308	11	1.053797	6	0.1245557	0.3410852	0.03212121	0.05984848	1.192804	4	1	-24.6888459222812	-0.379828398804326
hsa:3265	8	6	820	16.185641025641	0.185641025641026	17.66667	0.862155	13	0.1229899	0.88864	0.1372727	0.1169697	0.2421057	2	1	-20.3692297700507	-0.313372765693088
hsa:6655	4	6	313	18.1435897435897	0.143589743589744	18	0.810775	5	0.1215474	1.246101	0.1074242	0.08454546	0.9650688	2	1	-16.9377652945492	-0.260581004531526
hsa:5894	5	3	395	7.05384615384615	0.0538461538461538	10.66667	0.7862155	7	0.1245013	0.4469109	0.05015152	0.07787879	0.3774608	4	1	-23.8878229887719	-0.367504969058028
hsa:4893	8	6	820	16.1128205128205	0.112820512820513	17.66667	0.862155	13	0.1229899	0.88864	0.1289394	0.1042424	0.1275917	2	1	-20.3692297700507	-0.313372765693088
hsa:3845	8	6	820	16.1128205128205	0.112820512820513	17.66667	0.862155	13	0.1229899	0.88864	0.1415152	0.1139394	0.1275917	2	1	-20.3692297700507	-0.313372765693088
hsa:5295	8	6	775	6.07692307692308	0.0769230769230769	0	0.8247155	10	0.1273847	0.2608695	0.05560606	0.1098485	123.065	2	1	-25.1548529257851	-0.38699773731977
hsa:5290	8	6	775	6.07692307692308	0.0769230769230769	0	0.8247155	10	0.1273847	0.2608695	0.05924242	0.085	123.065	2	1	-25.1548529257851	-0.38699773731977
hsa:2322	6	6	592	32.2897435897436	0.28974358974359	0	0.7	12	0.120071	1.237478	0.1327273	0.1131818	1.199488E-10	2	0	-14.6290276823044	-0.225061964343145
hsa:5296	8	6	775	6.07692307692308	0.0769230769230769	0	0.8247155	10	0.1273847	0.2608695	0.05575757	0.1	123.065	2	1	-25.1548529257851	-0.38699773731977
hsa:5293	8	6	775	6.07692307692308	0.0769230769230769	0	0.8247155	10	0.1273847	0.2608695	0.05439394	0.09878788	123.065	2	1	-25.1548529257851	-0.38699773731977
hsa:8503	8	6	775	6.07692307692308	0.0769230769230769	0	0.8247155	10	0.1273847	0.2608695	0.05287879	0.1012121	123.065	2	1	-25.1548529257851	-0.38699773731977
