Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:51684	3	19	1910	48.3624384236453	0.36243842364532	93	0.91	5	0.1229528	3.398615	0.2620339	0.140678	20.40411	2	1	28.0053678012563	0.482851168987178
hsa:6608	1	19	68	49.2570607553366	0.257060755336617	0	0.7	1	0.1214771	1.594411	0.06728814	0.09627119	23.75087	2	0	24.9195468692829	0.429647359815223
hsa:5727	4	2	1978	2.01724137931034	0.0172413793103448	1	0.9388219	5	0.1274894	0.1886915	0.01864407	0.110678	94.77249	2	1	-12.8470473816035	-0.221500816924199
hsa:6469	1	2	71	3.02586206896552	0.0258620689655172	0	0.7	1	0.1214771	0.1820775	0.02	0.07762711	23.75087	2	0	-12.0144077081293	-0.207144960484988
hsa:51426	1	1	14	1	0	0	0.72625	1	0.1229528	0.15	0.01694915	0.04779661	66.37012	0	1	-12.7292939412391	-0.219470585193778
hsa:7157	3	3	42	9.13793103448276	0.137931034482759	0	0.7	8	0.1214771	1.081731	0.04338983	0.05440678	0.03882848	0	0	-7.7301644354372	-0.13327869716271
hsa:4616	3	3	32	3.03448275862069	0.0344827586206897	0	0.72625	3	0.1229528	0.3461538	0.02355932	0.04457627	66.37012	0	1	-12.0475227703798	-0.207715909834134
hsa:10912	3	3	32	3.03448275862069	0.0344827586206897	0	0.72625	3	0.1229528	0.3461538	0.02288136	0.04305085	66.37012	0	1	-12.0475227703798	-0.207715909834134
hsa:650	4	2	1974	2.01724137931034	0.0172413793103448	0	0.7288219	4	0.1260137	0.1904762	0.01830509	0.1023729	70.04515	2	1	-12.8082411268372	-0.220831743566158
hsa:652	4	2	1974	2.01724137931034	0.0172413793103448	0	0.7288219	4	0.1260137	0.1904762	0.02	0.09728814	70.04515	2	1	-12.8082411268372	-0.220831743566158
hsa:6934	4	4	68	4.05172413793103	0.0517241379310345	0	0.8050124	4	0.1229715	0.413793	0.02491525	0.05152543	116.3188	3	1	-11.6249821494529	-0.200430726714705
hsa:83439	4	4	68	4.05172413793103	0.0517241379310345	0	0.8050124	4	0.1229715	0.413793	0.02847458	0.04694915	116.3188	3	1	-11.6249821494529	-0.200430726714705
hsa:51176	4	4	68	4.05172413793103	0.0517241379310345	0	0.8050124	4	0.1229715	0.413793	0.02728814	0.04898305	116.3188	3	1	-11.6249821494529	-0.200430726714705
