Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:1956	1	1	2	1	0	0	0.805	1	0.1845917	0.15	0.03448276	0.08	43.49994	3	1	-17.501398061798	-0.6250499307785
hsa:1950	1	1	2	3.07142857142857	0.0714285714285714	0	0.7	2	0.1813045	0.4049999	0.05551724	0.07827586	2.69242E-05	3	0	-16.001398061798	-0.571478502207072
hsa:4193	1	1	3	2.03571428571429	0.0357142857142857	8	0.91	2	0.1845917	0.2775	0.04758621	0.09	8.096314	0	1	-17.001398061798	-0.607192787921357
hsa:7157	1	1	2	1	0	0	0.973	1	0.1846513	0.15	0.03448276	0.08655173	128.1867	0	1	-17.501398061798	-0.6250499307785
hsa:1026	1	8	3	10.1309523809524	0.130952380952381	0	0.7	1	0.1813045	0.7246476	0.0562069	0.09827586	15.53487	0	0	-12.1514592329869	-0.433980686892388
hsa:1019	1	8	7	10.1904761904762	0.19047619047619	34	0.7	3	0.1813045	2.028183	0.08413793	0.09896552	14.44891	0	0	-10.9038360822177	-0.389422717222061
hsa:5925	3	8	31	10.2005952380952	0.200595238095238	30	0.7	4	0.1813045	1.526116	0.1041379	0.1158621	23.45365	0	0	-9.6227362549548	-0.343669151962672
hsa:595	1	8	13	10.1815476190476	0.181547619047619	32	0.7	2	0.1813045	1.048943	0.08655173	0.09517241	19.44666	0	0	-10.5514830946067	-0.376838681950241
hsa:1870	3	8	28	10.1678571428571	0.167857142857143	0	0.7	3	0.1813045	1.094509	0.09344827	0.1162069	24.45502	0	0	-10.0435278824988	-0.358697424374956
hsa:1869	3	8	28	10.1678571428571	0.167857142857143	0	0.7	3	0.1813045	1.094509	0.1	0.1017241	24.45502	0	0	-10.0435278824988	-0.358697424374956
hsa:23604	4	3	84	6.15476190476191	0.154761904761905	0	0.7	4	0.1813045	1.470298	0.1089655	0.1644828	2.692419E-05	2	0	-13.1770467133032	-0.470608811189401
hsa:1613	4	3	84	6.15476190476191	0.154761904761905	0	0.7	4	0.1813045	1.470298	0.1175862	0.1324138	2.692419E-05	2	0	-13.1770467133032	-0.470608811189401
hsa:5594	4	2	136	3.05357142857143	0.0535714285714286	6.5	1.35352	7	0.198118	0.2490291	0.05965517	0.1882759	0.00187115	2	1	-17.3198262460798	-0.61856522307428
hsa:9252	2	1	52	1	0	0	1.512112	2	0.1884885	0.15	0.03448276	0.1596552	463.9961	2	1	-17.6680647284647	-0.631002311730881
hsa:11186	3	3	93	12.1949404761905	0.194940476190476	0	0.7	3	0.1813045	0.5467888	0.1972414	0.2096552	2.238661E-08	1	0	-13.3560087485011	-0.477000312446469
hsa:4893	5	3	191	11.221768707483	0.221768707482993	5.333333	0.84	7	0.1878788	0.6224137	0.1958621	0.1710345	8.82811E-08	1	1	-14.435445923317	-0.515551640118464
hsa:2261	3	3	93	12.1949404761905	0.194940476190476	0	0.7	3	0.1813045	0.5467888	0.1913793	0.1451724	2.238661E-08	1	0	-13.3560087485011	-0.477000312446469
hsa:3845	5	3	191	11.221768707483	0.221768707482993	5.333333	0.84	7	0.1878788	0.6224137	0.1882759	0.1772414	8.82811E-08	1	1	-14.435445923317	-0.515551640118464
hsa:5595	4	2	136	3.05357142857143	0.0535714285714286	6.5	1.35352	7	0.198118	0.2490291	0.06137931	0.1986207	0.00187115	2	1	-17.3198262460798	-0.61856522307428
hsa:1612	4	3	84	6.15476190476191	0.154761904761905	0	0.7	4	0.1813045	1.470298	0.1058621	0.1793104	2.69242E-05	2	0	-13.1770467133032	-0.470608811189401
hsa:673	5	3	213	8.13095238095238	0.130952380952381	8.333334	0.952	7	0.1915235	0.4076234	0.1451724	0.1775862	2.60613E-07	1	1	-16.1227075669241	-0.575810984533003
hsa:3265	5	3	191	11.1592261904762	0.15922619047619	5.333333	0.84	7	0.1878788	0.6224137	0.1948276	0.1968966	4.420446E-08	1	1	-14.435445923317	-0.515551640118464
hsa:5894	5	3	213	8.13095238095238	0.130952380952381	8.333334	0.952	7	0.1915235	0.4076234	0.1317241	0.1565517	2.60613E-07	1	1	-16.1227075669241	-0.575810984533003
hsa:5604	4	2	178	5.08035714285714	0.0803571428571429	12	1.1284	6	0.1917218	0.2800739	0.09344827	0.1924138	1.511792E-06	1	1	-16.9868494952597	-0.606673196259275
hsa:369	5	3	213	8.13095238095238	0.130952380952381	8.333334	0.952	7	0.1915235	0.4076234	0.13	0.2010345	2.60613E-07	1	1	-16.1227075669241	-0.575810984533003
hsa:5605	4	2	178	5.08035714285714	0.0803571428571429	12	1.1284	6	0.1917218	0.2800739	0.09241379	0.2013793	1.511792E-06	1	1	-16.9868494952597	-0.606673196259275
hsa:2064	1	1	2	1	0	0	0.805	1	0.1845917	0.15	0.03448276	0.07241379	43.49994	3	1	-17.501398061798	-0.6250499307785
hsa:1029	1	8	5	10.1636904761905	0.163690476190476	14	0.7	2	0.1813045	0.9605225	0.07551724	0.1041379	7.467881	0	0	-12.119380488251	-0.432835017437537
hsa:1871	3	8	28	10.1678571428571	0.167857142857143	0	0.7	3	0.1813045	1.094509	0.09413793	0.1144828	24.45502	0	0	-10.0435278824988	-0.358697424374956
