Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:122011	2	7	34	15.0420745920746	0.0420745920745921	0	0.7	2	0.08215936	0.9698482	0.01277778	0.02083333	135.9389	4	0	-44.36863436285	-0.31027017036958
hsa:1452	2	7	34	15.0420745920746	0.0420745920745921	0	0.7	2	0.08215936	0.9698482	0.01166667	0.020625	135.9389	4	0	-44.36863436285	-0.31027017036958
hsa:1021	2	7	75	7.02447552447552	0.0244755244755245	0	0.7	2	0.08215936	0.3243109	0.01034722	0.034375	250.8625	4	0	-47.8000526407292	-0.334266102382721
hsa:1019	2	7	75	7.02447552447552	0.0244755244755245	0	0.7	2	0.08215936	0.3243109	0.01104167	0.02770833	250.8624	4	0	-47.8000526407292	-0.334266102382721
hsa:8600	1	1	49	1	0	0	0.77	1	0.08283436	0.15	0.006944444	0.03833333	187.8254	4	1	-48.491757485718	-0.339103199200825
hsa:5241	4	31	868	65.1691641691642	0.169164169164169	343	0.7	5	0.08215936	0.8528764	0.1234722	0.03041667	47.64629	4	0	-30.8991405224107	-0.216077905751123
hsa:7157	3	3	75	9.05594405594406	0.0559440559440559	0	0.7	8	0.08215936	0.9754806	0.02097222	0.028125	1.915794	1	0	-43.8503689156436	-0.306645936473032
hsa:581	1	1	18	1	0	0	0.72625	1	0.08283436	0.15	0.006944444	0.02305556	161.7604	1	1	-48.491757485718	-0.339103199200825
hsa:1871	3	7	32	7.02913752913753	0.0291375291375291	0	0.7	3	0.08215936	0.7503768	0.01194444	0.01819444	158.8697	4	0	-45.8434819975421	-0.320583790192602
hsa:1869	3	7	32	7.02913752913753	0.0291375291375291	0	0.7	3	0.08215936	0.7503768	0.01361111	0.01819444	158.8697	4	0	-45.8434819975421	-0.320583790192602
hsa:10297	3	7	35	20.0425657675658	0.0425657675657676	0	0.7	3	0.08215936	0.7776208	0.01347222	0.02194444	152.6857	4	0	-44.7650483493263	-0.313042296149135
hsa:324	3	7	35	20.0425657675658	0.0425657675657676	0	0.7	3	0.08215936	0.7776208	0.01340278	0.01972222	152.6857	4	0	-44.7650483493263	-0.313042296149135
hsa:10912	3	3	36	3.01398601398601	0.013986013986014	0	0.72625	3	0.08283436	0.3461538	0.01041667	0.019375	161.7604	1	1	-47.8100275444773	-0.334335856954387
hsa:1647	3	3	36	3.01398601398601	0.013986013986014	0	0.72625	3	0.08283436	0.3461538	0.009861111	0.01944445	161.7604	1	1	-47.8100275444773	-0.334335856954387
hsa:1870	3	7	32	7.02913752913753	0.0291375291375291	0	0.7	3	0.08215936	0.7503768	0.01402778	0.01805556	158.8697	4	0	-45.8434819975421	-0.320583790192602
