Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:4088	1	7	5	7.04666666666667	0.0466666666666667	10	0.7	2	0.1132454	1.021851	0.02578947	0.03421053	76	4	0	-36.5790892631107	-0.487721190174809
hsa:4089	1	7	2	7.03444444444444	0.0344444444444444	0	0.7	1	0.1132454	0.5842832	0.02105263	0.035	76	4	0	-37.4396965121	-0.499195953494667
hsa:5970	2	3	24	3.02666666666667	0.0266666666666667	0	0.7	2	0.1132454	0.4076655	0.02526316	0.04	185.958	1	0	-39.7421355408912	-0.529895140545216
hsa:4790	2	3	24	3.02666666666667	0.0266666666666667	0	0.7	2	0.1132454	0.4076655	0.02342105	0.04263158	185.958	1	0	-39.7421355408912	-0.529895140545216
hsa:5781	1	1	48	1	0	0	0.73315	1	0.1145427	0.15	0.01315789	0.05986842	92.29524	6	1	-40.6544723720721	-0.542059631627628
hsa:9846	6	13	362	34.168657046657	0.168657046657047	31	0.7735	8	0.1145569	1.236318	0.1623684	0.06986842	0.6438892	6	1	-11.5918437369612	-0.154557916492816
hsa:7046	1	7	12	7.05333333333333	0.0533333333333333	16	0.7	2	0.1132454	0.8828628	0.02763158	0.04236842	76	4	0	-35.8963133057788	-0.478617510743718
hsa:7048	3	7	31	7.06444444444444	0.0644444444444444	18	0.7	4	0.1132454	1.405096	0.03473684	0.04210526	76	4	0	-34.7962882108372	-0.463950509477829
hsa:1871	3	11	30	18.0784603174603	0.0784603174603175	0	0.7	3	0.1132454	0.9490032	0.03447368	0.0368421	75.58748	7	0	-34.8260857889218	-0.464347810518958
hsa:1869	3	11	30	18.0784603174603	0.0784603174603175	0	0.7	3	0.1132454	0.9490032	0.03486842	0.03868421	75.58748	7	0	-34.8260857889218	-0.464347810518958
hsa:1488	3	6	39	6.05111111111111	0.0511111111111111	0	0.7	3	0.1132454	0.8376619	0.04473684	0.04026316	76	5	0	-34.1981423508585	-0.455975231344779
hsa:1487	3	6	39	6.05111111111111	0.0511111111111111	0	0.7	3	0.1132454	0.8376619	0.0406579	0.04513158	76	5	0	-34.1981423508585	-0.455975231344779
