Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:7048	2	5	14	5.04794520547945	0.0479452054794521	6	0.7	3	0.1137374	1.261475	0.03054054	0.03797297	74	4	0	-25.0587945378529	-0.343271158052779
hsa:7046	1	5	5	5.03196347031964	0.0319634703196347	0	0.7	1	0.1137374	0.5074143	0.01783784	0.03554054	74	4	0	-26.3297520841339	-0.360681535399095
hsa:1630	2	4	32	4.02511415525114	0.0251141552511416	0.5	0.91	2	0.115031	0.2454476	0.01932433	0.0522973	209.2556	6	1	-29.2828301183747	-0.401134659155817
hsa:836	2	4	10	4.03424657534247	0.0342465753424658	0.5	0.7	2	0.1137374	0.5614567	0.0227027	0.03364865	55.68748	6	0	-28.1430207248673	-0.385520831847497
hsa:6198	2	2	33	2.01369863013699	0.0136986301369863	0	0.8446422	2	0.1150782	0.2608695	0.01783784	0.04189189	227.4825	1	1	-29.3988600413142	-0.402724110154989
hsa:6199	2	2	33	2.01369863013699	0.0136986301369863	0	0.8446422	2	0.1150782	0.2608695	0.01648649	0.03324324	227.4825	1	1	-29.3988600413142	-0.402724110154989
hsa:27113	1	1	8	2.01369863013699	0.0136986301369863	0	0.7	1	0.1137374	0.1755	0.01716216	0.04418919	8.296869	0	0	-29.0321934023259	-0.397701279483916
hsa:596	2	1	37	1	0	0	1.837159	5	0.1202674	0.15	0.01351351	0.04702703	602.8331	0	1	-30.0321933746381	-0.411399909241618
hsa:4088	2	5	15	5.04794520547945	0.0479452054794521	2	0.7	3	0.1137374	1.200324	0.02878378	0.03851352	74	4	0	-24.9635973327109	-0.341967086749465
hsa:4089	2	5	12	5.03881278538813	0.0388127853881279	0	0.7	2	0.1137374	0.8301763	0.02635135	0.03364865	74	4	0	-25.3925423840345	-0.347843046356637
hsa:7157	3	3	44	10.1164383561644	0.116438356164384	0	0.7	8	0.1137374	1.103405	0.05337838	0.05932432	1.404842E-06	0	0	-24.532193408236	-0.336057443948439
hsa:51426	1	1	15	1	0	0	0.72625	1	0.115031	0.15	0.01351351	0.04445946	83.24984	0	1	-29.6988600413048	-0.406833699195956
hsa:1647	3	3	33	3.02739726027397	0.0273972602739726	0	0.72625	3	0.115031	0.3461538	0.02310811	0.04472973	83.24983	0	1	-29.0170418595864	-0.397493724103924
hsa:10912	3	3	33	3.02739726027397	0.0273972602739726	0	0.72625	3	0.115031	0.3461538	0.02175676	0.03810811	83.24983	0	1	-29.0170418595864	-0.397493724103924
hsa:26060	2	4	32	4.03424657534247	0.0342465753424658	22.5	0.7	2	0.1137374	0.7226858	0.02432432	0.0345946	114.1782	6	0	-28.0606830852729	-0.384392918976341
hsa:842	3	4	241	4.03424657534247	0.0342465753424658	62.5	0.9642811	5	0.1178893	0.5614567	0.02067568	0.09121621	174.1939	6	1	-28.2237138223534	-0.386626216744568
hsa:2885	3	6	101	52.1753750815395	0.175375081539465	120	0.7355384	3	0.1150898	1.881858	0.08364865	0.06729729	3.435686	3	1	-2.02426273609125	-0.027729626521798
hsa:6655	4	6	189	51.2233637747336	0.223363774733638	79.5	0.8103307	5	0.1150464	2.03748	0.1304054	0.08405405	2.063009	3	1	-9.54155294130199	-0.13070620467537
hsa:1956	6	6	494	53.1825950305402	0.182595030540236	208	1.54	11	0.1189118	2.482335	0.1486486	0.09202702	2.765623	1	1	7.4977095174438	0.102708349554025
hsa:1950	1	6	55	54.1508000751151	0.150800075115144	0	0.7	1	0.1137374	0.6774961	0.04864865	0.06621622	8.296869	1	0	-19.6250451446417	-0.268836234858105
hsa:5899	5	4	232	9.08904109589041	0.089041095890411	42	0.8079841	6	0.115046	0.8375806	0.06756756	0.06743243	0.7915689	2	1	-25.0897691322233	-0.343695467564703
hsa:5900	3	4	148	10.0684931506849	0.0684931506849315	99	0.7198938	3	0.1150607	0.8619435	0.0477027	0.07567567	1.802701	2	1	-22.7534058353197	-0.31169049089479
hsa:595	5	1	191	1	0	0	1.918549	7	0.1230021	0.15	0.01351351	0.07040541	1255.398	5	1	-30.0738600413048	-0.411970685497326
hsa:3725	3	1	77	2.01369863013699	0.0136986301369863	4.333333	0.9066294	3	0.1163855	0.1682143	0.0172973	0.05621622	82.37542	3	1	-29.7405267079715	-0.407404475451664
hsa:1499	4	4	160	8.04109589041096	0.0410958904109589	135	0.9892843	5	0.1150782	0.6750528	0.05175676	0.0572973	7.098846	5	1	-24.8869553461759	-0.340917196522957
hsa:2932	4	4	255	9.02876712328767	0.0287671232876712	148	0.9642811	4	0.1178893	0.7237949	0.02851351	0.05148648	24.35039	1	1	-24.6369569505385	-0.337492560966281
hsa:5594	4	2	136	6.06164383561644	0.0616438356164384	27	1.033147	6	0.116416	0.4420639	0.03337838	0.06810811	9.709956	3	1	-28.3795959720407	-0.388761588658092
hsa:2353	3	1	77	2.01369863013699	0.0136986301369863	4.333333	0.9066294	3	0.1163855	0.1682143	0.01689189	0.05891892	82.37542	3	1	-29.7405267079715	-0.407404475451664
hsa:332	4	1	132	1	0	0	1.009679	4	0.1189714	0.15	0.01351351	0.05594595	287.6722	5	1	-29.9988600413048	-0.410943288237052
hsa:51176	5	4	207	7.08219178082192	0.0821917808219178	13.5	0.7741963	7	0.1150462	0.6177092	0.05175676	0.06351351	7.212236	5	1	-27.3727382467761	-0.374969017079124
