Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:1956	6	6	236	21.2086666666667	0.208666666666667	20	0.91	8	0.1391879	1.458892	0.124902	0.1056863	0.3341414	5	1	-6.62083869455457	-0.132416773891091
hsa:1950	1	6	40	22.1423102453102	0.142310245310245	0	0.7	1	0.1373027	1.390058	0.06392157	0.06509804	2.004848	5	0	-5.6208387272858	-0.112416774545716
hsa:10297	3	6	33	12.1046666666667	0.104666666666667	0	0.7	3	0.1373027	1.284864	0.06176471	0.06294118	37.99877	3	0	-10.8923887476927	-0.217847774953853
hsa:324	3	6	33	12.1046666666667	0.104666666666667	0	0.7	3	0.1373027	1.284864	0.0572549	0.05843137	37.99877	3	0	-10.8923887476927	-0.217847774953853
hsa:8312	3	6	40	12.1266666666667	0.126666666666667	10	0.7	4	0.1373027	1.813733	0.06568628	0.06313726	35.68626	3	0	-10.5393182090518	-0.210786364181037
hsa:2932	3	6	43	12.1333333333333	0.133333333333333	32	0.7	3	0.1373027	1.942051	0.07196078	0.07941177	26.70792	3	0	-11.0656248326726	-0.221312496653453
hsa:2002	2	1	26	1	0	0	1.323651	2	0.1411811	0.15	0.01960784	0.06333333	712.1958	1	1	-21.6165692771854	-0.432331385543708
hsa:5595	3	2	69	3.03	0.03	6.5	1.039418	4	0.141235	0.2982558	0.03156863	0.07196078	5.980861	1	1	-20.9600036206198	-0.419200072412395
hsa:2885	3	3	84	14.1059365079365	0.105936507936508	26	0.739	3	0.1392138	1.025588	0.09215686	0.09705883	0.4113094	1	1	-11.7875053587418	-0.235750107174836
hsa:6654	4	3	135	13.1291666666667	0.129166666666667	16.5	0.81085	5	0.1392142	1.030103	0.1158824	0.0854902	0.2438751	1	1	-14.8031046716156	-0.296062093432311
hsa:7157	3	3	42	9.08	0.08	0	0.7	8	0.1373027	1.081731	0.0845098	0.09254902	1.11975E-22	0	0	-16.4499026105213	-0.328998052210426
hsa:578	1	1	14	1	0	0	0.72625	1	0.1391879	0.15	0.01960784	0.04980392	57.375	0	1	-21.4499026105188	-0.428998052210375
hsa:10912	3	3	32	3.04	0.04	0	0.72625	3	0.1391879	0.3461538	0.03490196	0.06803922	57.375	0	1	-20.7680844287006	-0.415361688574011
hsa:1647	3	3	32	3.04	0.04	0	0.72625	3	0.1391879	0.3461538	0.03588235	0.06294118	57.375	0	1	-20.7680844287006	-0.415361688574011
hsa:51176	4	4	123	6.1	0.1	3	0.7525	6	0.1391879	0.589655	0.06647059	0.08627451	3.022908	4	1	-19.3455070061232	-0.386910140122463
hsa:4609	4	1	96	1	0	0	1.1515	4	0.1449471	0.15	0.01960784	0.06333333	210.177	4	1	-21.7499026105188	-0.434998052210375
hsa:595	4	1	96	1	0	0	1.1515	4	0.1449471	0.15	0.01960784	0.07470588	210.177	4	1	-21.7499026105188	-0.434998052210375
hsa:6934	4	4	123	6.1	0.1	3	0.7525	6	0.1391879	0.589655	0.0772549	0.07411765	3.022908	4	1	-19.3455070061232	-0.386910140122463
hsa:1499	4	6	106	12.1533333333333	0.153333333333333	30	0.7	5	0.1373027	1.201449	0.1033333	0.1003922	5.47654	4	0	-12.7691322787165	-0.25538264557433
hsa:83439	4	4	123	6.1	0.1	3	0.7525	6	0.1391879	0.589655	0.06607843	0.08607843	3.022908	4	1	-19.3455070061232	-0.386910140122463
hsa:6655	4	3	135	13.1291666666667	0.129166666666667	16.5	0.81085	5	0.1392142	1.030103	0.1254902	0.0882353	0.2438751	1	1	-14.8031046716156	-0.296062093432311
hsa:4893	5	3	209	11.1241904761905	0.124190476190476	13.33333	0.86217	7	0.1411256	0.6938185	0.112549	0.1090196	0.2473373	1	1	-17.7330512357726	-0.354661024715453
hsa:2309	3	1	63	1	0	0	0.952	3	0.1431136	0.15	0.01960784	0.07862745	135.9998	2	1	-21.6999026105188	-0.433998052210375
hsa:10000	3	3	87	6.07	0.07	2	0.84	7	0.1410731	0.4826086	0.06882353	0.08784313	1.967457E-06	2	1	-19.9023317603163	-0.398046635206326
hsa:5290	6	6	220	6.1	0.1	0	0.739	6	0.1392138	0.5142856	0.08529412	0.08294117	65.23731	5	1	-19.4400986889502	-0.388801973779003
hsa:5295	6	6	220	6.1	0.1	0	0.739	6	0.1392138	0.5142856	0.09019608	0.07490196	65.23731	5	1	-19.4400986889502	-0.388801973779003
hsa:5170	3	3	63	7.045	0.045	0	0.7	3	0.1373027	0.457663	0.06686275	0.09705883	1.364129E-07	2	0	-18.6710564566751	-0.373421129133502
hsa:208	3	3	87	6.07	0.07	2	0.84	7	0.1410731	0.4826086	0.07058824	0.08784313	1.967457E-06	2	1	-19.9023317603163	-0.398046635206326
hsa:5291	6	6	220	6.1	0.1	0	0.739	6	0.1392138	0.5142856	0.08098039	0.08509804	65.23731	5	1	-19.4400986889502	-0.388801973779003
hsa:5293	6	6	220	6.1	0.1	0	0.739	6	0.1392138	0.5142856	0.08	0.0827451	65.23731	5	1	-19.4400986889502	-0.388801973779003
hsa:3611	3	3	63	7.045	0.045	0	0.7	3	0.1373027	0.457663	0.06941176	0.08882353	1.364129E-07	2	0	-18.6710564566751	-0.373421129133502
hsa:207	3	3	87	6.07	0.07	2	0.84	7	0.1410731	0.4826086	0.06392157	0.09431373	1.967457E-06	2	1	-19.9023317603163	-0.398046635206326
hsa:8503	6	6	220	6.1	0.1	0	0.739	6	0.1392138	0.5142856	0.08117647	0.09294118	65.23731	5	1	-19.4400986889502	-0.388801973779003
hsa:5296	6	6	220	6.1	0.1	0	0.739	6	0.1392138	0.5142856	0.08490196	0.08647059	65.23731	5	1	-19.4400986889502	-0.388801973779003
hsa:5605	4	2	150	5.045	0.045	16.5	1.131393	6	0.1431978	0.4050941	0.05039216	0.1001961	0.7914426	1	1	-20.2030924031822	-0.404061848063645
hsa:5594	3	2	69	3.03	0.03	6.5	1.039418	4	0.141235	0.2982558	0.03666667	0.0754902	5.980861	1	1	-20.9600036206198	-0.419200072412395
hsa:3845	5	3	209	11.0891666666667	0.0891666666666667	13.33333	0.86217	7	0.1411256	0.6938185	0.1021569	0.1045098	0.1489685	1	1	-17.7330512357726	-0.354661024715453
hsa:673	5	3	215	8.07333333333333	0.0733333333333333	13.33333	0.958651	7	0.1431158	0.4881287	0.07039215	0.1247059	0.3181822	1	1	-19.4854028030062	-0.389708056060125
hsa:5604	4	2	150	5.045	0.045	16.5	1.131393	6	0.1431978	0.4050941	0.04784314	0.1017647	0.7914426	1	1	-20.2030924031822	-0.404061848063645
hsa:5894	5	3	215	8.07333333333333	0.0733333333333333	13.33333	0.958651	7	0.1431158	0.4881287	0.07039215	0.1194118	0.3181822	1	1	-19.4854028030062	-0.389708056060125
hsa:3265	5	3	209	11.1241904761905	0.124190476190476	13.33333	0.86217	7	0.1411256	0.6938185	0.1113725	0.1094118	0.2473373	1	1	-17.7330512357726	-0.354661024715453
