Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:1950	1	13	7	26.0431675844941	0.0431675844941151	0	0.7	1	0.08157197	0.4412231	0.008310811	0.02033784	148.3006	3	0	-55.2775492219468	-0.376037749809162
hsa:1956	1	13	58	26.059637627945	0.0596376279449509	57	0.7	2	0.08157197	0.6852312	0.01493243	0.02344595	149.7693	3	0	-53.9158402732742	-0.366774423627716
hsa:7015	1	2	1	2.00340136054422	0.00340136054421769	0	0.7	1	0.08157197	0.9999421	0.00777027	0.01351351	148	10	0	-56.1528316913691	-0.381992052322239
hsa:7012	1	2	1	2.00340136054422	0.00340136054421769	0	0.7	1	0.08157197	0.9999421	0.008175676	0.01351351	148	10	0	-56.1528316913691	-0.381992052322239
hsa:3082	1	13	12	29.0481859410431	0.0481859410430839	0	0.7	1	0.08157197	0.6588503	0.009662163	0.01972973	77.54048	5	0	-49.2946546455781	-0.335337786704613
hsa:4233	2	13	108	28.0598212445151	0.0598212445151221	27	0.91	3	0.08223738	0.5986477	0.01608108	0.02722973	77.54048	5	1	-49.6848781599372	-0.337992368434947
hsa:6198	2	2	18	2.00680272108844	0.00680272108843537	0	0.859	2	0.08225366	0.2608695	0.007905405	0.01675676	280.3923	0	1	-57.2412989477626	-0.389396591481378
hsa:6199	2	2	18	2.00680272108844	0.00680272108843537	0	0.859	2	0.08225366	0.2608695	0.007905405	0.01824324	280.3923	0	1	-57.2412989477626	-0.389396591481378
hsa:83998	1	1	5	1	0	0	0.742	1	0.08223738	0.15	0.006756757	0.01722973	176.4413	1	1	-57.5412674107246	-0.391437193270235
hsa:1045	1	1	5	6.03401360544218	0.0340136054421769	0	0.7	5	0.08157197	0.7874999	0.01317568	0.01858108	5.793635	1	0	-54.5424053672125	-0.371036771205527
hsa:1027	2	8	12	8.02437641723356	0.0243764172335601	0	0.7	2	0.08157197	0.7462099	0.01033784	0.01797297	148	8	0	-53.9784902667639	-0.367200614059618
hsa:9134	2	8	17	8.03061224489796	0.0306122448979592	5	0.7	3	0.08157197	1.052145	0.01108108	0.01858108	148	8	0	-53.3619891399451	-0.363006728843164
hsa:3728	1	13	18	19.0360220278588	0.0360220278587626	0	0.7	1	0.08157197	0.5438	0.009932432	0.02060811	132.0537	7	0	-52.3371529579039	-0.356035054135401
hsa:999	3	13	90	19.0514739229025	0.0514739229024943	250	0.7	6	0.08157197	2.316489	0.02256757	0.0222973	99.90517	7	0	-48.1524497903172	-0.327567685648416
hsa:5915	3	4	27	4.02040816326531	0.0204081632653061	0	0.7	3	0.08157197	0.9999421	0.01243243	0.0170946	148	9	0	-53.8606183177176	-0.366398764066106
hsa:6257	3	4	27	4.02040816326531	0.0204081632653061	0	0.7	3	0.08157197	0.9999421	0.01243243	0.01777027	148	9	0	-53.8606183177176	-0.366398764066106
hsa:1869	3	8	29	8.03004535147392	0.0300453514739229	0	0.7	3	0.08157197	0.9609165	0.01317568	0.01756757	148	8	0	-53.2141551631222	-0.362001055531443
hsa:1870	3	8	29	8.03004535147392	0.0300453514739229	0	0.7	3	0.08157197	0.9609165	0.01324324	0.01864865	148	8	0	-53.2141551631222	-0.362001055531443
hsa:898	2	8	17	8.03061224489796	0.0306122448979592	5	0.7	3	0.08157197	1.052145	0.01263514	0.01743243	148	8	0	-53.3619891399451	-0.363006728843164
hsa:1017	2	8	23	8.03401360544218	0.0340136054421769	24	0.7	3	0.08157197	1.012613	0.01168919	0.01851351	148	8	0	-52.9337886465949	-0.360093800316972
hsa:7043	3	8	30	10.0327664399093	0.0327664399092971	0	0.7	3	0.08157197	1.014802	0.01243243	0.01777027	146.2016	2	0	-52.6193846455951	-0.357954997589082
hsa:7040	3	8	30	10.0327664399093	0.0327664399092971	0	0.7	3	0.08157197	1.014802	0.01175676	0.01837838	146.2016	2	0	-52.6193846455951	-0.357954997589082
hsa:6258	3	4	27	4.02040816326531	0.0204081632653061	0	0.7	3	0.08157197	0.9999421	0.0122973	0.01689189	148	9	0	-53.8606183177176	-0.366398764066106
hsa:6256	3	4	27	4.02040816326531	0.0204081632653061	0	0.7	3	0.08157197	0.9999421	0.01209459	0.01891892	148	9	0	-53.8606183177176	-0.366398764066106
hsa:1496	3	13	36	19.0428247489472	0.0428247489471979	0	0.7	3	0.08157197	1.254909	0.01425676	0.02040541	132.0537	7	0	-49.7129634909147	-0.338183425108263
hsa:29119	3	13	36	19.0428247489472	0.0428247489471979	0	0.7	3	0.08157197	1.254909	0.01614865	0.02128378	132.0537	7	0	-49.7129634909147	-0.338183425108263
hsa:7046	3	8	36	10.0396825396825	0.0396825396825397	30	0.7	4	0.08157197	1.363566	0.01560811	0.02094595	138.7529	2	0	-51.7924925362637	-0.352329881199073
hsa:7042	3	8	30	10.0327664399093	0.0327664399092971	0	0.7	3	0.08157197	1.014802	0.01195946	0.0172973	146.2016	2	0	-52.6193846455951	-0.357954997589082
hsa:1871	3	8	29	8.03004535147392	0.0300453514739229	0	0.7	3	0.08157197	0.9609165	0.01195946	0.01817568	148	8	0	-53.2141551631222	-0.362001055531443
hsa:5925	3	8	34	8.03628117913832	0.036281179138322	24	0.7	4	0.08157197	1.253674	0.01358108	0.01864865	148	8	0	-52.5952073137908	-0.357790525944155
hsa:4089	2	8	26	10.0289115646259	0.0289115646258503	0	0.7	2	0.08157197	0.9490647	0.01101351	0.01912162	83.72085	0	0	-52.9931085162343	-0.360497336845131
hsa:4088	3	8	43	10.0374149659864	0.0374149659863946	11	0.7	5	0.08157197	1.410127	0.01560811	0.02121622	36.70954	0	0	-52.2391660215651	-0.355368476337177
hsa:1030	2	1	26	1	0	0	0.91	2	0.08290277	0.15	0.006756757	0.01614865	325.8386	0	1	-57.7079335690861	-0.39257097666045
hsa:4087	3	8	43	10.0374149659864	0.0374149659863946	11	0.7	5	0.08157197	1.410127	0.01459459	0.0202027	36.70954	0	0	-52.2391660215651	-0.355368476337177
hsa:23401	4	13	508	24.0515387107224	0.0515387107223842	0	0.7	4	0.08157197	0.2734092	0.01797297	0.03040541	305	6	0	-56.947623004864	-0.387398795951456
