Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:4193	2	11	21	18.0827625570776	0.0827625570776256	72	0.91	2	0.1137733	1.236641	0.01837838	0.04	63.41567	0	1	-25.9438133538832	-0.355394703477852
hsa:1029	2	11	13	18.0908023483366	0.0908023483365949	73	0.7	2	0.1125075	1.813909	0.02297297	0.03175675	44.76976	0	0	-23.4278057736664	-0.320928846214609
hsa:4616	3	3	35	3.02739726027397	0.0273972602739726	0	0.7324333	3	0.1137877	0.3461538	0.02283784	0.04445946	87.33594	0	1	-33.0197228927665	-0.452324971133787
hsa:10912	3	3	35	3.02739726027397	0.0273972602739726	0	0.7324333	3	0.1137877	0.3461538	0.02148649	0.04459459	87.33594	0	1	-33.0197228927665	-0.452324971133787
hsa:7157	3	11	49	18.1254729288976	0.125472928897586	79	0.973	9	0.1137875	1.278404	0.03810811	0.05094595	7.336487	0	1	-26.1123633930053	-0.35770360812336
hsa:581	1	1	17	1	0	0	0.7324333	1	0.1137877	0.15	0.01351351	0.03905405	87.33594	0	1	-33.7015410717465	-0.461664946188308
hsa:595	2	11	23	18.0867579908676	0.0867579908675799	104	0.7	4	0.1125075	2.883639	0.03081081	0.03972973	72.27914	0	0	-21.9764766967423	-0.301047625982772
hsa:1019	2	11	28	18.0689497716895	0.0689497716894978	34	0.7	3	0.1125075	1.531169	0.03081081	0.03405406	73.59634	0	0	-22.3509053346064	-0.306176785405567
hsa:1871	3	11	31	18.0601163296369	0.0601163296368776	0	0.7	3	0.1125075	1.118226	0.03081081	0.04108108	73.99528	0	0	-24.0302530410276	-0.329181548507228
hsa:1870	3	11	31	18.0601163296369	0.0601163296368776	0	0.7	3	0.1125075	1.118226	0.02783784	0.04175676	73.99528	0	0	-24.0302530410276	-0.329181548507228
hsa:2475	3	1	27	1	0	0	1.33	3	0.1163048	0.15	0.01351351	0.03635135	285.6686	4	1	-33.9515410717465	-0.465089603722555
hsa:10000	3	3	27	4.03082191780822	0.0308219178082192	0	0.7	3	0.1125075	1.283257	0.02391892	0.03743243	3.443784	4	0	-30.1011425625998	-0.412344418665751
hsa:1869	3	11	31	18.0601163296369	0.0601163296368776	0	0.7	3	0.1125075	1.118226	0.02986486	0.04054054	73.99528	0	0	-24.0302530410276	-0.329181548507228
hsa:5925	3	11	41	18.0593770384866	0.0593770384866275	63	0.7	5	0.1125075	1.968126	0.03297297	0.04297297	73.90704	0	0	-22.1217508906116	-0.303037683433036
hsa:5155	3	6	215	29.0752233687165	0.0752233687165194	0	0.7	3	0.1125075	3.672506	0.06391892	0.04554054	3.443785	1	0	-24.7994744152466	-0.339718827606118
hsa:5154	3	6	215	29.0752233687165	0.0752233687165194	0	0.7	3	0.1125075	3.672506	0.05364865	0.07175676	3.443784	1	0	-24.7994744152466	-0.339718827606118
hsa:208	3	3	27	4.03082191780822	0.0308219178082192	0	0.7	3	0.1125075	1.283257	0.02351351	0.03418919	3.443785	4	0	-30.1011425625998	-0.412344418665751
hsa:207	3	3	27	4.03082191780822	0.0308219178082192	0	0.7	3	0.1125075	1.283257	0.02256757	0.03418919	3.443785	4	0	-30.1011425625998	-0.412344418665751
hsa:3479	1	6	87	27.054675423511	0.0546754235110399	0	0.7	1	0.1125075	0.5809931	0.035	0.1012162	16.0013	1	0	-29.7249179010696	-0.407190656179036
