Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:7015	1	2	1	2.00602409638554	0.00602409638554217	0	0.7	1	0.07681698	0.9999421	0.006946108	0.01197605	167	11	0	-58.1270514356212	-0.35016296045555
hsa:7012	1	2	1	2.00602409638554	0.00602409638554217	0	0.7	1	0.07681698	0.9999421	0.007005988	0.01197605	167	11	0	-58.1270514356212	-0.35016296045555
hsa:3082	1	6	12	22.0341365461847	0.034136546184739	0	0.7	1	0.07681698	0.676484	0.008323354	0.01814371	92.25174	2	0	-54.3787636312891	-0.3275829134415
hsa:4233	2	6	72	21.0422312627132	0.0422312627131904	20	0.91	3	0.07740706	0.6193929	0.01323353	0.02479042	92.25174	2	1	-55.3186324622126	-0.333244773868751
hsa:4088	2	8	17	8.02710843373494	0.0271084337349398	5	0.7	3	0.07681698	1.052145	0.01119761	0.0154491	167	9	0	-55.3362088841973	-0.333350655928899
hsa:4089	2	8	12	8.02158634538153	0.0215863453815261	0	0.7	2	0.07681698	0.7462099	0.01041916	0.01443114	167	9	0	-55.952710011016	-0.337064518138651
hsa:1029	1	8	23	8.01767068273092	0.0176706827309237	0	0.7	1	0.07681698	0.2380489	0.00754491	0.0208982	212.4478	5	0	-58.6694305339757	-0.35343030442154
hsa:595	4	8	122	8.02560240963855	0.0256024096385542	348	1.1515	7	0.07919545	0.725109	0.0102994	0.02706587	297.5674	5	1	-55.8124608043138	-0.336219643399481
hsa:7157	3	3	42	9.04819277108434	0.0481927710843374	0	0.7	8	0.07681698	1.081731	0.01616766	0.02053892	1.419602	0	0	-54.5169562362997	-0.328415399013854
hsa:578	1	1	14	1	0	0	0.72625	1	0.07740706	0.15	0.005988024	0.01598802	187.6974	0	1	-59.5154871549767	-0.358527031054076
