Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:1029	2	11	33	18.1164215686275	0.116421568627451	442	0.7	3	0.1155735	1.592028	0.02449275	0.04217391	82.05984	0	0	-12.69170202263	-0.186642676803383
hsa:4193	2	11	26	18.0930672268908	0.0930672268907563	400	0.91	2	0.1169092	1.116046	0.02043478	0.04246377	68.42585	0	1	-14.0843796731423	-0.207123230487387
hsa:208	3	3	27	4.04411764705882	0.0441176470588235	0	0.7	3	0.1155735	1.283257	0.02362319	0.0373913	30.13255	3	0	-16.4294308068682	-0.241609276571591
hsa:207	3	3	27	4.04411764705882	0.0441176470588235	0	0.7	3	0.1155735	1.283257	0.02188406	0.03507246	30.13255	3	0	-16.4294308068682	-0.241609276571591
hsa:1870	3	11	30	18.0887254901961	0.0887254901960785	0	0.7	3	0.1155735	0.8424144	0.02507246	0.0373913	75.52612	0	0	-16.2657075617869	-0.239201581790983
hsa:1869	3	11	30	18.0887254901961	0.0887254901960785	0	0.7	3	0.1155735	0.8424144	0.02130435	0.03550725	75.52611	0	0	-16.2657075617869	-0.239201581790983
hsa:572	3	1	27	1	0	0	1.33	3	0.1195807	0.15	0.01449275	0.03724638	185.6025	3	1	-19.9353055833808	-0.293166258579129
hsa:10000	3	3	27	4.04411764705882	0.0441176470588235	0	0.7	3	0.1155735	1.283257	0.02405797	0.03565218	30.13255	3	0	-16.4294308068682	-0.241609276571591
hsa:4616	3	3	36	3.02941176470588	0.0294117647058824	0	0.7324333	3	0.1169249	0.3461538	0.01942029	0.03695652	82.03761	0	1	-19.0035761506803	-0.279464355157063
hsa:1647	3	3	36	3.02941176470588	0.0294117647058824	0	0.7324333	3	0.1169249	0.3461538	0.02043478	0.03869565	82.03761	0	1	-19.0035761506803	-0.279464355157063
hsa:581	1	1	18	1	0	0	0.7324333	1	0.1169249	0.15	0.01449275	0.03478261	82.03761	0	1	-19.685306091921	-0.289489795469426
hsa:7157	3	11	53	18.1406862745098	0.140686274509804	366	0.973	9	0.1169247	1.136524	0.03550725	0.05101449	7.532584	0	1	-14.4543939210881	-0.212564616486589
hsa:1871	3	11	30	18.0887254901961	0.0887254901960785	0	0.7	3	0.1155735	0.8424144	0.02188406	0.03449275	75.52612	0	0	-16.2657075617869	-0.239201581790983
hsa:5925	3	11	42	18.1071078431373	0.107107843137255	186	0.7	4	0.1155735	1.011986	0.02811594	0.04550724	94.98665	0	0	-15.7031717112872	-0.230928995754224
hsa:1026	3	11	46	18.0892156862745	0.0892156862745098	17	0.7648667	3	0.1169249	0.6433898	0.0242029	0.04434783	119.4841	0	1	-16.2007446498476	-0.238246244850701
hsa:1021	3	11	49	18.1188725490196	0.118872549019608	44.5	0.7	4	0.1155735	1.359365	0.02681159	0.04043478	122.4224	0	0	-13.7466734367853	-0.202156962305665
hsa:1019	3	11	77	18.1188725490196	0.118872549019608	516	1.008012	6	0.1183089	1.443705	0.0284058	0.04855072	187.31	0	1	-12.6125332375852	-0.185478429964488
hsa:595	3	11	74	18.1100490196078	0.110049019607843	260.5	1.008012	5	0.1183089	0.8584366	0.0257971	0.04898551	202.9462	0	1	-14.3542089082036	-0.211091307473582
hsa:5604	4	11	185	22.0828431372549	0.082843137254902	370	1.089025	6	0.119732	0.6929671	0.02231884	0.05492754	97.88076	2	1	-14.2142583824257	-0.209033211506261
hsa:5594	3	11	99	20.1174019607843	0.117401960784314	351	1.026708	5	0.1183411	0.6983148	0.02768116	0.05014493	181.1397	2	1	-14.506757376266	-0.21333466729803
hsa:5605	4	11	185	22.0828431372549	0.082843137254902	370	1.089025	6	0.119732	0.6929671	0.02739131	0.05826087	97.88076	2	1	-14.2142583824257	-0.209033211506261
hsa:5595	3	11	99	20.1174019607843	0.117401960784314	351	1.026708	5	0.1183411	0.6983148	0.02333333	0.04724638	181.1397	2	1	-14.506757376266	-0.21333466729803
hsa:5296	8	6	1097	6.07352941176471	0.0735294117647059	0	0.8645	8	0.1199388	0.3199999	0.03550725	0.06666667	283.3701	2	1	-18.9233071570029	-0.278283928779454
hsa:5290	8	6	1097	6.07352941176471	0.0735294117647059	0	0.8645	8	0.1199388	0.3199999	0.02898551	0.08289855	283.3701	2	1	-18.9233071570029	-0.278283928779454
hsa:8503	8	6	1097	6.07352941176471	0.0735294117647059	0	0.8645	8	0.1199388	0.3199999	0.03289855	0.09115942	283.3701	2	1	-18.9233071570029	-0.278283928779454
hsa:5291	8	6	1097	6.07352941176471	0.0735294117647059	0	0.8645	8	0.1199388	0.3199999	0.03608696	0.09492753	283.3701	2	1	-18.9233071570029	-0.278283928779454
hsa:5293	8	6	1097	6.07352941176471	0.0735294117647059	0	0.8645	8	0.1199388	0.3199999	0.03434782	0.08086956	283.3701	2	1	-18.9233071570029	-0.278283928779454
hsa:5295	8	6	1097	6.07352941176471	0.0735294117647059	0	0.8645	8	0.1199388	0.3199999	0.03434782	0.07782609	283.3701	2	1	-18.9233071570029	-0.278283928779454
hsa:5894	5	11	911	25.0888363678805	0.0888363678804855	249.3333	0.8645	7	0.1199388	0.6735013	0.0315942	0.07086957	48.01738	2	1	-14.4610559156462	-0.212662586994797
hsa:369	5	11	911	25.0888363678805	0.0888363678804855	249.3333	0.8645	7	0.1199388	0.6735013	0.02681159	0.09333333	48.01738	2	1	-14.4610559156462	-0.212662586994797
hsa:4893	8	11	6572	34.1367625838214	0.136762583821407	320.3334	1.645	17	0.1259035	0.8856959	0.08289855	0.13	22.07224	2	1	-12.2276423682845	-0.17981827012183
hsa:673	5	11	911	25.0776844070962	0.0776844070961718	249.3333	0.8645	7	0.1199388	0.6735013	0.03028985	0.08811595	28.02578	2	1	-14.4610559156462	-0.212662586994797
hsa:3265	8	11	6572	34.2100373482726	0.210037348272642	320.3334	1.645	17	0.1259035	0.8856959	0.07608695	0.1153623	42.91699	2	1	-12.2276423682845	-0.17981827012183
hsa:3845	8	11	6572	34.2100373482726	0.210037348272642	320.3334	1.645	17	0.1259035	0.8856959	0.0742029	0.1323188	42.91699	2	1	-12.2276423682845	-0.17981827012183
