Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:6789	1	8	6	27.1162698412698	0.116269841269841	0	0.7	1	0.1217285	0.6080322	0.02876923	0.03307692	31.19329	4	0	-27.7948923467883	-0.434295192918568
hsa:11186	2	8	25	27.1614583333333	0.161458333333333	127.2308	0.7	3	0.1217285	1.077723	0.05553846	0.06169231	17.8374	4	0	-27.0626530091468	-0.422853953267918
hsa:1029	2	8	14	8.05598958333333	0.0559895833333333	0	0.7	2	0.1217285	0.5271195	0.02984615	0.04323077	181.2523	4	0	-28.2104427098468	-0.440788167341356
hsa:1019	2	8	26	8.0703125	0.0703125	17.5	0.7	3	0.1217285	0.6655052	0.03769231	0.05676923	211.1102	4	0	-27.8144382149567	-0.434600597108699
hsa:581	1	1	14	1	0	0	0.72625	1	0.1232103	0.15	0.01538462	0.03630769	73.12498	0	1	-30.1877791056571	-0.471684048525893
hsa:7157	3	3	42	9.125	0.125	0	0.7	8	0.1217285	1.081731	0.05723077	0.05938461	5.396143E-07	0	0	-25.1877791337175	-0.393559048964335
hsa:6256	3	4	27	4.046875	0.046875	0	0.7	3	0.1217285	0.9999427	0.03446154	0.04661538	65	5	0	-25.7868021291148	-0.402918783267418
hsa:6258	3	4	27	4.046875	0.046875	0	0.7	3	0.1217285	0.9999427	0.03323077	0.04261538	65	5	0	-25.7868021291148	-0.402918783267418
hsa:5915	3	4	27	4.046875	0.046875	0	0.7	3	0.1217285	0.9999427	0.03615385	0.04538462	65	5	0	-25.7868021291148	-0.402918783267418
hsa:6257	3	4	27	4.046875	0.046875	0	0.7	3	0.1217285	0.9999427	0.036	0.04246154	65	5	0	-25.7868021291148	-0.402918783267418
hsa:10912	3	3	32	3.03125	0.03125	0	0.72625	3	0.1232103	0.3461538	0.02661538	0.06061538	73.12498	0	1	-29.5059609239388	-0.461030639436543
hsa:1647	3	3	32	3.03125	0.03125	0	0.72625	3	0.1232103	0.3461538	0.02523077	0.056	73.12498	0	1	-29.5059609239388	-0.461030639436543
hsa:1870	3	8	30	8.06901041666667	0.0690104166666667	0	0.7	3	0.1217285	0.8062448	0.038	0.04676923	121.2458	4	0	-26.8885128180074	-0.420133012781366
hsa:1869	3	8	30	8.06901041666667	0.0690104166666667	0	0.7	3	0.1217285	0.8062448	0.03923077	0.05353846	121.2458	4	0	-26.8885128180074	-0.420133012781366
hsa:5925	3	8	42	8.08333333333333	0.0833333333333333	99	0.7	4	0.1217285	0.9382273	0.04369231	0.05338462	155.3392	4	0	-26.5029627483136	-0.4141087929424
hsa:1871	3	8	30	8.06901041666667	0.0690104166666667	0	0.7	3	0.1217285	0.8062448	0.03969231	0.046	121.2458	4	0	-26.8885128180074	-0.420133012781366
hsa:3718	3	3	111	4.0234375	0.0234375	6	0.742	5	0.1246921	0.4442307	0.03676923	0.09153846	9.051851E-05	6	1	-28.3544457726964	-0.443038215198381
hsa:6776	3	3	37	3.03125	0.03125	0	0.7742	3	0.1232464	0.3461538	0.02507692	0.05769231	90.99987	6	1	-29.5059609239388	-0.461030639436543
hsa:6774	3	3	37	3.03125	0.03125	0	0.7742	3	0.1232464	0.3461538	0.02784615	0.05907692	90.99988	6	1	-29.5059609239388	-0.461030639436543
hsa:6777	3	3	37	3.03125	0.03125	0	0.7742	3	0.1232464	0.3461538	0.02723077	0.04630769	90.99987	6	1	-29.5059609239388	-0.461030639436543
hsa:1021	2	8	26	8.0703125	0.0703125	17.5	0.7	3	0.1217285	0.6655052	0.03661538	0.046	211.1102	4	0	-27.8144382149567	-0.434600597108699
hsa:595	3	8	60	8.078125	0.078125	199	1.548888	6	0.1262488	0.7264925	0.04369231	0.08876923	282.8398	4	1	-26.5303230607641	-0.414536297824438
hsa:2885	4	8	112	30.1443824404762	0.14438244047619	92	0.76825	4	0.1247642	0.7411656	0.08430769	0.09676923	1.825441	1	1	-23.840862525691	-0.372513476963922
hsa:6654	4	8	209	29.1864583333333	0.186458333333333	55.5	0.8152375	5	0.1232472	0.6954891	0.1230769	0.09753846	1.410535	1	1	-25.890087722506	-0.404532620664157
hsa:7039	2	8	64	35.1509858630952	0.150985863095238	0	0.7	2	0.1217285	0.7223634	0.06015385	0.08276923	0.6617946	1	0	-23.925430085792	-0.3738348450905
hsa:1956	4	8	216	33.1803943452381	0.180394345238095	32	0.91	8	0.1246921	0.6733687	0.08430769	0.1233846	0.2205986	1	1	-25.2529038294413	-0.39457662233502
hsa:2064	4	8	216	33.1803943452381	0.180394345238095	32	0.91	8	0.1246921	0.6733687	0.09507693	0.1046154	0.2205986	1	1	-25.2529038294413	-0.39457662233502
hsa:1950	2	8	64	35.1509858630952	0.150985863095238	0	0.7	2	0.1217285	0.7223634	0.07369231	0.048	0.6617946	1	0	-23.925430085792	-0.3738348450905
hsa:5578	5	8	197	18.1119047619048	0.111904761904762	0	0.7	5	0.1217285	1.914265	0.08569231	0.1075385	0.06572514	2	0	-23.2637219784172	-0.36349565591277
hsa:5579	5	8	197	18.1119047619048	0.111904761904762	0	0.7	5	0.1217285	1.914265	0.08230769	0.09923077	0.06572514	2	0	-23.2637219784172	-0.36349565591277
hsa:5336	3	2	75	2.015625	0.015625	0	0.8365	3	0.1247642	0.2093023	0.02	0.07338461	129.5587	1	1	-30.1423245602026	-0.470973821253165
hsa:5335	3	2	75	2.015625	0.015625	0	0.8365	3	0.1247642	0.2093023	0.02	0.07184616	129.5587	1	1	-30.1423245602026	-0.470973821253165
hsa:5595	3	8	79	10.0755208333333	0.0755208333333333	39.38461	1.064813	4	0.1248084	0.3529112	0.03369231	0.07138462	117.1199	2	1	-28.5258339071352	-0.445716154798988
hsa:5604	4	8	200	12.0606770833333	0.0606770833333333	52.38461	1.216043	6	0.1265065	0.4444228	0.03630769	0.1089231	6.333823	2	1	-27.8443372511066	-0.435067769548541
hsa:5605	4	8	200	12.0606770833333	0.0606770833333333	52.38461	1.216043	6	0.1265065	0.4444228	0.04461538	0.1173846	6.333823	2	1	-27.8443372511066	-0.435067769548541
hsa:5594	3	8	79	10.0755208333333	0.0755208333333333	39.38461	1.064813	4	0.1248084	0.3529112	0.03661538	0.08384615	117.1199	2	1	-28.5258339071352	-0.445716154798988
hsa:5296	6	6	315	6.078125	0.078125	0	0.7236762	6	0.1232829	0.334561	0.05953846	0.07492308	109.7609	1	1	-29.3602916074174	-0.458754556365896
