Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:5888	1	2	1	2.01351351351351	0.0135135135135135	0	0.7	1	0.1139256	0.9999425	0.0172	0.02666667	75	8	0	-36.6246747381389	-0.494928037001878
hsa:675	1	2	1	2.01351351351351	0.0135135135135135	0	0.7	1	0.1139256	0.9999425	0.01746667	0.02666667	75	8	0	-36.6246747381389	-0.494928037001878
hsa:595	2	8	16	8.06081081081081	0.0608108108108108	12	0.7	3	0.1139256	1.124778	0.0396	0.03653333	75	4	0	-31.87671184361	-0.430766376265
hsa:1029	1	8	5	8.04166666666667	0.0416666666666667	0	0.7	1	0.1139256	0.4686841	0.02253333	0.02853333	75	4	0	-33.8163203428111	-0.45697730192988
hsa:6199	2	2	30	2.01351351351351	0.0135135135135135	0	0.8176	2	0.1152679	0.2608695	0.0176	0.06106667	127.2163	2	1	-37.8234421504036	-0.511127596627075
hsa:6198	2	2	30	2.01351351351351	0.0135135135135135	0	0.8176	2	0.1152679	0.2608695	0.01773333	0.06533334	127.2163	2	1	-37.8234421504036	-0.511127596627075
hsa:4089	2	8	12	8.04842342342342	0.0484234234234234	0	0.7	2	0.1139256	0.7462102	0.02946667	0.03213333	75	6	0	-32.9237583152164	-0.44491565290833
hsa:4088	2	8	17	8.06081081081081	0.0608108108108108	5	0.7	3	0.1139256	1.052146	0.03546667	0.03866667	75	6	0	-32.2856391871684	-0.436292421448222
hsa:3716	2	11	55	14.0923423423423	0.0923423423423423	33	0.7	3	0.1139256	0.6387982	0.05173333	0.04053333	12.57086	7	0	-35.3430059185571	-0.47760818808861
hsa:6772	2	1	28	2.01351351351351	0.0135135135135135	6	0.805	2	0.1152235	0.181875	0.01733333	0.05453333	32.39355	7	1	-37.9234421504027	-0.512478947978415
hsa:7157	3	3	42	9.10810810810811	0.108108108108108	0	0.7	8	0.1139256	1.081731	0.05253333	0.05626667	3.836386E-08	0	0	-33.1234421557115	-0.44761408318529
hsa:581	1	1	14	1	0	0	0.72625	1	0.1152235	0.15	0.01333333	0.036	84.37489	0	1	-38.1234421504027	-0.515181650681118
hsa:5337	2	1	24	1	0	0	0.942445	2	0.1165514	0.15	0.01333333	0.052	189.4932	5	1	-38.2901088170694	-0.51743390293337
hsa:5898	3	4	52	11.079954954955	0.0799549549549549	8.5	0.80815	4	0.1152383	0.6848626	0.03813333	0.06693333	1.538286	5	1	-35.1479459580428	-0.474972242676255
hsa:7043	3	8	29	8.05968468468468	0.0596846846846847	0	0.7	3	0.1139256	0.9609168	0.03306667	0.038	75	6	0	-32.1145218149673	-0.433980024526585
hsa:7042	3	8	29	8.05968468468468	0.0596846846846847	0	0.7	3	0.1139256	0.9609168	0.03586667	0.0396	75	6	0	-32.1145218149673	-0.433980024526585
hsa:1869	3	8	31	8.06193693693694	0.0619369369369369	0	0.7	3	0.1139256	0.9468358	0.03346667	0.046	75	4	0	-31.4888411573895	-0.425524880505263
hsa:1870	3	8	31	8.06193693693694	0.0619369369369369	0	0.7	3	0.1139256	0.9468358	0.03493333	0.04213334	75	4	0	-31.4888411573895	-0.425524880505263
