Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:596	2	1	14	1	0	0	1.12	2	0.1081459	0.15	0.01190476	0.03285714	287.7675	0	1	-27.930981820242	-0.336517853255928
hsa:4790	2	3	30	4.03614457831325	0.036144578313253	4.5	0.7	3	0.1059028	0.5557491	0.02035714	0.03416667	96.06154	0	0	-26.2964440563002	-0.31682462718434
hsa:1870	3	8	33	8.05522088353414	0.0552208835341365	0	0.7	3	0.1059028	0.8720093	0.02130952	0.03452381	84.45166	6	0	-23.0191896217679	-0.277339633997203
hsa:1869	3	8	33	8.05522088353414	0.0552208835341365	0	0.7	3	0.1059028	0.8720093	0.02214286	0.03130952	84.45166	6	0	-23.0191896217679	-0.277339633997203
hsa:9134	3	8	33	8.06024096385542	0.0602409638554217	18	0.7	3	0.1059028	0.7927511	0.02428572	0.03714286	87.77454	6	0	-23.1747472931018	-0.279213822808456
hsa:1017	3	8	36	8.05421686746988	0.0542168674698795	42	0.7	3	0.1059028	0.6715308	0.02154762	0.03595238	92.74908	6	0	-23.636702981589	-0.284779553995048
hsa:354	1	7	19	7.03614457831325	0.036144578313253	0	0.7	1	0.1059028	0.3180407	0.01821429	0.02523809	116.4767	4	0	-26.0701534198371	-0.314098233973941
hsa:367	3	7	77	7.05421686746988	0.0542168674698795	130	0.7	7	0.1059028	1.383865	0.02880952	0.03011905	167.2495	4	0	-23.9257391471819	-0.288261917435926
hsa:898	3	8	33	8.06024096385542	0.0602409638554217	18	0.7	3	0.1059028	0.7927511	0.02678571	0.03630953	87.77454	6	0	-23.1747472931018	-0.279213822808456
hsa:5925	3	8	45	8.07028112449799	0.070281124497992	39	0.7	5	0.1059028	1.34043	0.02440476	0.03833333	85.42897	6	0	-22.2401189071929	-0.267953239845697
hsa:3326	3	7	37	7.04216867469879	0.0421686746987952	0	0.7	3	0.1059028	0.7339398	0.02166667	0.03154762	133.5437	4	0	-24.7757047659471	-0.298502467059604
hsa:7184	3	7	37	7.04216867469879	0.0421686746987952	0	0.7	3	0.1059028	0.7339398	0.02154762	0.03047619	133.5437	4	0	-24.7757047659471	-0.298502467059604
hsa:595	4	1	80	1	0	0	1.583537	4	0.110437	0.15	0.01190476	0.0375	353.3109	5	1	-28.0643151535753	-0.338124278958739
hsa:6934	4	4	118	5.04819277108434	0.0481927710843374	1.75	0.7362812	5	0.1070366	0.501724	0.02488095	0.04083333	32.90383	5	1	-26.1599195779987	-0.315179753951791
hsa:4193	3	1	201	2.01204819277108	0.0120481927710843	5	0.7687272	4	0.1093387	0.1925	0.01369048	0.07190476	40.68149	0	1	-27.7643151535753	-0.334509821127414
hsa:7157	3	1	194	1	0	0	1.894836	3	0.10952	0.15	0.01190476	0.0475	658.6198	2	1	-28.0143151535753	-0.337521869320185
hsa:4792	3	3	98	4.03012048192771	0.0301204819277108	24	1.391855	5	0.1093766	0.6223867	0.01761905	0.0372619	180.0856	0	1	-25.9476716271897	-0.312622549725177
hsa:5970	2	3	30	4.03614457831325	0.036144578313253	4.5	0.7	3	0.1059028	0.5557491	0.0222619	0.03297619	96.06154	0	0	-26.2964440563002	-0.31682462718434
hsa:83439	4	4	118	5.04819277108434	0.0481927710843374	1.75	0.7362812	5	0.1070366	0.501724	0.02833333	0.03785714	32.90383	5	1	-26.1599195779987	-0.315179753951791
hsa:6932	4	4	118	5.04819277108434	0.0481927710843374	1.75	0.7362812	5	0.1070366	0.501724	0.02761905	0.04190476	32.90383	5	1	-26.1599195779987	-0.315179753951791
hsa:6654	5	7	263	17.0835484796328	0.083548479632817	127.5	0.8518	5	0.1071275	1.032217	0.04333333	0.05714286	26.14878	3	1	-19.9427864309568	-0.240274535312733
hsa:6655	5	7	263	17.0835484796328	0.083548479632817	127.5	0.8518	5	0.1071275	1.032217	0.03571429	0.05702381	26.14878	3	1	-19.9427864309568	-0.240274535312733
hsa:5594	3	7	83	7.04216867469879	0.0421686746987952	67.50001	1.03975	4	0.1082195	0.4038611	0.02178571	0.04011905	327.1513	3	1	-25.6837788778784	-0.309443119010583
hsa:5604	4	7	152	9.03835341365462	0.0383534136546185	87.50001	1.132499	6	0.1093767	0.4084329	0.02642857	0.04547619	53.42332	3	1	-25.5256900885867	-0.307538434802249
hsa:5605	4	7	152	9.03835341365462	0.0383534136546185	87.50001	1.132499	6	0.1093767	0.4084329	0.02238095	0.04678572	53.42332	3	1	-25.5256900885867	-0.307538434802249
hsa:5595	3	7	83	7.04216867469879	0.0421686746987952	67.50001	1.03975	4	0.1082195	0.4038611	0.02119048	0.04214286	327.1513	3	1	-25.6837788778784	-0.309443119010583
hsa:51176	4	4	118	5.04819277108434	0.0481927710843374	1.75	0.7362812	5	0.1070366	0.501724	0.02928571	0.04202381	32.90383	5	1	-26.1599195779987	-0.315179753951791
hsa:1499	4	4	347	9.08433734939759	0.0843373493975904	31.44444	0.7256242	7	0.1070608	0.6122304	0.03845238	0.06345238	0.1472151	5	1	-23.8497830336511	-0.287346783537965
hsa:3845	5	7	225	15.0813396442915	0.0813396442914515	76	0.87036	7	0.1081719	0.6957253	0.03523809	0.05738095	27.81792	3	1	-23.1718293091249	-0.279178666374999
hsa:3265	5	7	225	15.0813396442915	0.0813396442914515	76	0.87036	7	0.1081719	0.6957253	0.03761905	0.04785714	27.81792	3	1	-23.1718293091249	-0.279178666374999
hsa:4893	5	7	225	15.0813396442915	0.0813396442914515	76	0.87036	7	0.1081719	0.6957253	0.03678571	0.05595238	27.81792	3	1	-23.1718293091249	-0.279178666374999
hsa:369	5	7	221	12.0517498565691	0.0517498565691337	66	0.961108	7	0.1093396	0.4902787	0.03142857	0.05440476	27.63953	3	1	-25.0088215741348	-0.301311103302829
hsa:572	3	1	180	1	0	0	0.7687272	3	0.1093387	0.15	0.01190476	0.05369047	121.8914	0	1	-28.0143151535753	-0.337521869320185
hsa:10000	5	8	436	42.166265060241	0.166265060240964	25.99999	0.84	15	0.1081459	1.828784	0.07761905	0.07226191	0.1503168	0	1	-12.972178304332	-0.15629130487147
hsa:2475	3	1	180	1	0	0	0.7687272	3	0.1093387	0.15	0.01190476	0.04714286	121.8914	0	1	-28.0143151535753	-0.337521869320185
hsa:208	5	8	436	42.166265060241	0.166265060240964	25.99999	0.84	15	0.1081459	1.828784	0.09190476	0.07345238	0.1503168	0	1	-12.972178304332	-0.15629130487147
hsa:207	5	8	436	42.166265060241	0.166265060240964	25.99999	0.84	15	0.1081459	1.828784	0.08428571	0.06845238	0.1503168	0	1	-12.972178304332	-0.15629130487147
hsa:2308	3	1	180	1	0	0	0.7687272	3	0.1093387	0.15	0.01190476	0.03761905	121.8914	0	1	-28.0143151535753	-0.337521869320185
hsa:5894	5	7	221	12.0517498565691	0.0517498565691337	66	0.961108	7	0.1093396	0.4902787	0.03309524	0.0525	27.63953	3	1	-25.0088215741348	-0.301311103302829
hsa:673	5	7	221	12.0517498565691	0.0517498565691337	66	0.961108	7	0.1093396	0.4902787	0.02952381	0.05	27.63953	3	1	-25.0088215741348	-0.301311103302829
hsa:3551	5	3	255	7.04116465863454	0.0411646586345382	6.666667	0.7687272	6	0.1093387	0.3875844	0.02511905	0.05988095	13.8993	0	1	-26.4418660868051	-0.318576699841025
