Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:3082	1	6	9	26.1224675324675	0.122467532467533	0	0.7	1	0.130807	1.627245	0.03607143	0.03964286	4.057937	4	0	-5.26958680030696	-0.0958106690964902
hsa:4233	2	6	73	25.1442424242424	0.144242424242424	24	0.91	3	0.1325181	1.737935	0.06410714	0.06857143	2.039187	4	1	-6.26951552956716	-0.113991191446676
hsa:5908	2	2	12	2.01818181818182	0.0181818181818182	0	0.8703814	2	0.1325634	0.2608695	0.02267857	0.05803571	141.5055	4	1	-20.9460051288892	-0.380836456888894
hsa:5906	2	2	12	2.01818181818182	0.0181818181818182	0	0.8703814	2	0.1325634	0.2608695	0.02160714	0.05178571	141.5055	4	1	-20.9460051288892	-0.380836456888894
hsa:6654	2	2	16	2.01818181818182	0.0181818181818182	0	0.822619	2	0.1325634	0.2608695	0.02214286	0.05214286	106.5614	4	1	-20.9460051288892	-0.380836456888894
hsa:6655	2	2	16	2.01818181818182	0.0181818181818182	0	0.822619	2	0.1325634	0.2608695	0.02339286	0.04642857	106.5614	4	1	-20.9460051288892	-0.380836456888894
hsa:1399	2	2	77	5.05454545454545	0.0545454545454545	4.5	0.72646	3	0.1325407	0.5356332	0.03660714	0.07392857	5.869233	4	1	-19.5460051289938	-0.35538191143625
hsa:1398	2	2	77	5.05454545454545	0.0545454545454545	4.5	0.72646	3	0.1325407	0.5356332	0.03375	0.06642857	5.869233	4	1	-19.5460051289938	-0.35538191143625
hsa:112399	4	6	128	16.1393939393939	0.139393939393939	0	0.7	4	0.130807	3.053465	0.1058929	0.09142857	0.2900057	0	0	-9.16660178949332	-0.166665487081697
hsa:54583	4	6	128	16.1393939393939	0.139393939393939	0	0.7	4	0.130807	3.053465	0.1019643	0.06660714	0.2900057	0	0	-9.16660178949332	-0.166665487081697
hsa:5594	3	2	86	4.03636363636364	0.0363636363636364	9	1.113469	6	0.1360971	0.3523809	0.03571429	0.06982143	0.4480238	3	1	-20.4916191639674	-0.372574893890317
hsa:2113	2	1	36	1	0	0	1.034041	2	0.1343675	0.15	0.01785714	0.06035714	285.446	3	1	-21.4126717955464	-0.389321305373571
hsa:5595	3	2	86	4.03636363636364	0.0363636363636364	9	1.113469	6	0.1360971	0.3523809	0.03357143	0.09196428	0.4480238	3	1	-20.4916191639674	-0.372574893890317
hsa:3725	2	1	36	1	0	0	1.034041	2	0.1343675	0.15	0.01785714	0.05696429	285.446	3	1	-21.4126717955464	-0.389321305373571
hsa:9915	3	6	107	13.0772727272727	0.0772727272727273	0	0.7	3	0.130807	0.639161	0.07625	0.07375	0.3898528	0	0	-18.3468652048596	-0.333579367361083
hsa:405	3	6	107	13.0772727272727	0.0772727272727273	0	0.7	3	0.130807	0.639161	0.07571428	0.09732143	0.3898528	0	0	-18.3468652048596	-0.333579367361083
hsa:2033	3	6	107	13.0772727272727	0.0772727272727273	0	0.7	3	0.130807	0.6391609	0.08732143	0.06428572	0.3898528	0	0	-18.3468652048596	-0.333579367361083
hsa:1387	3	6	107	13.0772727272727	0.0772727272727273	0	0.7	3	0.130807	0.6391609	0.08	0.08392857	0.3898528	0	0	-18.3468652048596	-0.333579367361083
hsa:208	8	3	578	4.05454545454545	0.0545454545454545	3	1.135876	9	0.1412094	0.2444444	0.03625	0.09553572	20.90155	2	1	-21.0521452482847	-0.38276627724154
hsa:572	3	1	201	1	0	0	1.722288	3	0.1363484	0.15	0.01785714	0.07982143	571.4558	2	1	-21.4960051288797	-0.390836456888722
hsa:5604	4	2	106	6.04545454545455	0.0454545454545455	6	1.015	6	0.1359402	0.38065	0.04767857	0.08732143	0.02420183	3	1	-20.1115022049031	-0.365663676452784
hsa:5894	4	3	76	9.06969696969697	0.0696969696969697	0	0.7	4	0.130807	2.078362	0.06125	0.07089286	0.001420064	3	0	-14.8513931829093	-0.270025330598351
hsa:5605	4	2	106	6.04545454545455	0.0454545454545455	6	1.015	6	0.1359402	0.38065	0.03892857	0.07410714	0.02420183	3	1	-20.1115022049031	-0.365663676452784
hsa:673	4	3	76	9.06969696969697	0.0696969696969697	0	0.7	4	0.130807	2.078362	0.06017857	0.06732143	0.001420064	3	0	-14.8513931829093	-0.270025330598351
hsa:5781	3	2	95	5.04848484848485	0.0484848484848485	12	0.72646	3	0.1325407	0.2997619	0.03446428	0.1017857	0.7742186	3	1	-20.2752448949616	-0.368640816272029
hsa:2549	6	6	473	24.2818181818182	0.281818181818182	40	0.882	11	0.1325404	1.682289	0.1758929	0.11875	0.4538015	4	1	-7.7028409489042	-0.14005165361644
hsa:7043	4	3	128	3.03636363636364	0.0363636363636364	0	0.787	4	0.1343634	0.2608695	0.02839286	0.07875	127.5961	0	1	-20.9484342786773	-0.380880623248678
hsa:7040	4	3	128	3.03636363636364	0.0363636363636364	0	0.787	4	0.1343634	0.2608695	0.02767857	0.09696428	127.5961	0	1	-20.9484342786773	-0.380880623248678
hsa:3091	4	6	220	13.1181818181818	0.118181818181818	34.5	1.015	15	0.1359402	1.449719	0.1060714	0.1146429	0.1991017	0	1	-15.0193036704558	-0.273078248553741
hsa:7422	2	1	96	1	0	0	0.787	2	0.1343634	0.15	0.01785714	0.0925	127.5961	0	1	-21.4126717955464	-0.389321305373571
hsa:5155	2	1	96	1	0	0	0.787	2	0.1343634	0.15	0.01785714	0.0975	127.5961	0	1	-21.4126717955464	-0.389321305373571
hsa:2034	4	6	220	13.1181818181818	0.118181818181818	34.5	1.015	15	0.1359402	1.449719	0.1091071	0.1146429	0.1991017	0	1	-15.0193036704558	-0.273078248553741
hsa:10298	7	7	434	7.10909090909091	0.109090909090909	0	0.76	8	0.1342291	0.4137931	0.08232143	0.08660714	71.99994	1	1	-19.7782631933959	-0.35960478533447
hsa:5879	7	7	392	8.12727272727273	0.127272727272727	0	0.7	7	0.130807	0.4577586	0.1142857	0.07946429	4.36934E-07	1	0	-17.7460051565675	-0.322654639210318
hsa:56924	7	7	434	7.10909090909091	0.109090909090909	0	0.76	8	0.1342291	0.4137931	0.08875	0.08553571	71.99994	1	1	-19.7782631933959	-0.35960478533447
hsa:998	7	7	392	8.12727272727273	0.127272727272727	0	0.7	7	0.130807	0.4577586	0.1135714	0.07	4.36934E-07	1	0	-17.7460051565675	-0.322654639210318
hsa:106821730	7	7	434	7.10909090909091	0.109090909090909	0	0.76	8	0.1342291	0.4137931	0.08803572	0.09035714	71.99994	1	1	-19.7782631933959	-0.35960478533447
hsa:5062	7	7	434	7.10909090909091	0.109090909090909	0	0.76	8	0.1342291	0.4137931	0.08839285	0.08625	71.99994	1	1	-19.7782631933959	-0.35960478533447
hsa:57144	7	7	434	7.10909090909091	0.109090909090909	0	0.76	8	0.1342291	0.4137931	0.09017857	0.07517857	71.99994	1	1	-19.7782631933959	-0.35960478533447
hsa:5063	7	7	434	7.10909090909091	0.109090909090909	0	0.76	8	0.1342291	0.4137931	0.07982143	0.09160715	71.99994	1	1	-19.7782631933959	-0.35960478533447
hsa:8503	8	6	610	10.1545454545455	0.154545454545455	2	0.72646	9	0.1325407	0.7814284	0.1214286	0.09392857	0.2546861	2	1	-17.24952088072	-0.313627652376727
hsa:5293	8	6	610	10.1545454545455	0.154545454545455	2	0.72646	9	0.1325407	0.7814284	0.1116071	0.10375	0.2546861	2	1	-17.24952088072	-0.313627652376727
hsa:207	8	3	578	4.05454545454545	0.0545454545454545	3	1.135876	9	0.1412094	0.2444444	0.03446428	0.08428571	20.90155	2	1	-21.0521452482847	-0.38276627724154
