Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:581	1	1	15	1	0	0	0.93625	2	0.1062261	0.15	0.01098901	0.02571429	170.0313	0	1	-37.5219910293359	-0.416911011437065
hsa:596	1	1	4	2.01111111111111	0.0111111111111111	0	0.7	1	0.1040604	0.21375	0.01340659	0.02241758	23.34341	0	0	-36.5221920861799	-0.405802134290888
hsa:842	1	1	3	2.01111111111111	0.0111111111111111	2	1.12	3	0.1062261	0.2775	0.01362637	0.02692308	86.94946	5	1	-37.0219910431798	-0.411355456035331
hsa:317	1	1	3	3.01666666666667	0.0166666666666667	0	0.7	1	0.1040604	0.2679375	0.01285714	0.02395604	23.34341	5	0	-36.2721922189553	-0.403024357988392
hsa:1030	2	18	30	18.0668518518519	0.0668518518518519	4	0.91	2	0.1051433	0.3041447	0.01637363	0.03736264	139.4822	1	1	-35.5672310351345	-0.395191455945939
hsa:7709	2	18	17	18.0744444444444	0.0744444444444445	2	0.7	2	0.1040604	0.6811759	0.02175824	0.03494506	38.82713	1	0	-32.8233418174288	-0.364703797971431
hsa:4609	3	18	51	18.1018518518519	0.101851851851852	167	0.7	5	0.1040604	2.364212	0.0256044	0.0410989	62.74421	1	0	-29.9235273303503	-0.332483637003893
hsa:4149	1	18	12	18.067037037037	0.067037037037037	0	0.7	1	0.1040604	0.5519146	0.01681319	0.03076923	77.70168	1	0	-33.5153961677709	-0.37239329075301
hsa:578	1	1	14	1	0	0	0.72625	1	0.1051433	0.15	0.01098901	0.03769231	102.3748	0	1	-37.3553243765123	-0.415059159739025
hsa:7157	3	3	43	9.08888888888889	0.0888888888888889	0	0.7	8	0.1040604	1.017981	0.03153846	0.04065934	0.001535968	0	0	-32.5222281490431	-0.361358090544923
hsa:9134	3	18	27	18.0736243386243	0.0736243386243386	19	0.7	3	0.1040604	0.7448596	0.02131868	0.03120879	120.2403	1	0	-33.9410481435337	-0.377122757150375
hsa:898	3	18	27	18.0736243386243	0.0736243386243386	19	0.7	3	0.1040604	0.7448596	0.02087912	0.02967033	120.2402	1	0	-33.9410481435337	-0.377122757150375
hsa:1647	3	3	32	3.02222222222222	0.0222222222222222	0	0.72625	3	0.1051433	0.3461538	0.01626374	0.02967033	102.3748	0	1	-36.6735158293405	-0.407483509214894
hsa:10912	3	3	32	3.02222222222222	0.0222222222222222	0	0.72625	3	0.1051433	0.3461538	0.01637363	0.03087912	102.3748	0	1	-36.6735158293405	-0.407483509214894
hsa:6257	3	4	27	4.03333333333333	0.0333333333333333	0	0.7	3	0.1040604	0.9999424	0.02043956	0.0267033	91	7	0	-33.4322221891709	-0.371469135435232
hsa:5915	3	4	27	4.03333333333333	0.0333333333333333	0	0.7	3	0.1040604	0.9999424	0.02208791	0.03021978	91	7	0	-33.4322221891709	-0.371469135435232
hsa:1164	3	18	30	18.0862962962963	0.0862962962962963	22	0.7	3	0.1040604	1.190525	0.02131868	0.03263736	38.82713	1	0	-31.5314352093738	-0.350349280104154
