Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID	Robustness	Sum Outside Loyality	Average Outside Loyality
hsa:999	1	4	17	8.10185185185185	0.101851851851852	0	0.7	1	0.1607815	2.535001	0.07918919	0.1021622	1.286609	3	0	-15.4136669586815	-0.428157415518932
hsa:1499	4	4	100	8.16666666666667	0.166666666666667	6	0.7	5	0.1607815	2.805925	0.112973	0.1064865	0.3037272	3	0	-15.4136669584985	-0.428157415513847
hsa:7157	3	3	42	9.22222222222222	0.222222222222222	0	0.7	8	0.1607815	1.081731	0.1151351	0.1159459	1.036668E-15	0	0	-16.3707283233656	-0.454742453426823
hsa:1026	1	1	14	1	0	0	0.72625	1	0.1633666	0.15	0.02702703	0.08756757	41.625	0	1	-21.3707283233631	-0.593631342315642
hsa:4616	3	3	32	3.05555555555556	0.0555555555555556	0	0.72625	3	0.1633666	0.3461538	0.04675676	0.08621622	41.625	0	1	-20.6889101415449	-0.574691948376248
hsa:10912	3	3	32	3.05555555555556	0.0555555555555556	0	0.72625	3	0.1633666	0.3461538	0.04594595	0.09108108	41.625	0	1	-20.6889101415449	-0.574691948376248
hsa:6258	4	5	64	5.11111111111111	0.111111111111111	0	0.7	4	0.1607815	0.9999433	0.0827027	0.09108108	37	2	0	-15.2123032493925	-0.422563979149792
hsa:6256	4	5	64	5.11111111111111	0.111111111111111	0	0.7	4	0.1607815	0.9999433	0.08594595	0.09486487	37	2	0	-15.2123032493925	-0.422563979149792
hsa:7849	4	5	64	5.11111111111111	0.111111111111111	0	0.7	4	0.1607815	0.9999433	0.09027027	0.09297297	37	2	0	-15.2123032493925	-0.422563979149792
hsa:5468	4	5	64	5.11111111111111	0.111111111111111	0	0.7	4	0.1607815	0.9999433	0.09648649	0.08972973	37	2	0	-15.2123032493925	-0.422563979149792
hsa:83439	4	4	121	6.13888888888889	0.138888888888889	1	0.7525	6	0.1633666	0.589655	0.09675676	0.1127027	0.2492428	3	1	-19.2663327189675	-0.535175908860209
hsa:4609	4	1	96	1	0	0	1.1515	4	0.171288	0.15	0.02702703	0.1110811	146.7064	3	1	-21.6707283233631	-0.601964675648975
hsa:6934	4	4	121	6.13888888888889	0.138888888888889	1	0.7525	6	0.1633666	0.589655	0.09324324	0.1235135	0.2492428	3	1	-19.2663327189675	-0.535175908860209
hsa:595	4	1	96	1	0	0	1.1515	4	0.171288	0.15	0.02702703	0.08675676	146.7064	3	1	-21.6707283233631	-0.601964675648975
hsa:8031	5	3	218	11.1585944919278	0.158594491927825	0	0.7	5	0.1607815	1.710158	0.1321622	0.1481081	3.220214E-05	1	0	-15.8603911915722	-0.440566421988117
hsa:8030	5	3	218	11.1585944919278	0.158594491927825	0	0.7	5	0.1607815	1.710158	0.1227027	0.1408108	3.220214E-05	1	0	-15.8603911915722	-0.440566421988117
hsa:5604	3	2	54	4.04166666666667	0.0416666666666667	11	0.96565	4	0.1635053	0.4671385	0.06135135	0.1078378	0.0167273	4	1	-19.979819232454	-0.554994978679278
hsa:5595	3	2	33	2.02777777777778	0.0277777777777778	0	0.989695	3	0.1660392	0.2093023	0.03405406	0.08459459	277.4327	4	1	-21.3252737779086	-0.592368716053016
